BarCaption,Remote40Count,Local39Count,Remote40AvgSec,Local39AvgSec,DeltaSec,RatioRemote40OverLocal39,Remote40MaxSec,Local39MaxSec,Remote40MachineSample,Local39MachineSample
Module.DetailCustomizations.3.cpp,1,1,795.362,182.098,613.264,4.368,795.362,182.098,GIH-D-31320,GIH-D-33028
Module.UnrealEd.22.cpp,1,1,548.455,69.189,479.266,7.927,548.455,69.189,GIH-D-32790,GIH-D-33028
Module.HairStrandsCore.3.cpp,1,1,574.789,97.262,477.527,5.91,574.789,97.262,GIH-D-31320,GIH-D-33028
Module.CADLibrary.cpp,1,1,496.33,23.474,472.856,21.144,496.33,23.474,GIH-D-30761,GIH-D-33028
Module.NDCModFeaturesEd.cpp,1,1,470.49,7.35,463.14,64.012,470.49,7.35,GIH-D-32866,GIH-D-33028
Module.RivermaxMedia.cpp,1,1,484.494,44.856,439.638,10.801,484.494,44.856,GIH-D-32866,GIH-D-33028
Module.LevelSnapshots.1.cpp,1,1,480.216,52.931,427.285,9.072,480.216,52.931,GIH-D-32866,GIH-D-33028
Module.MuCOE.2.cpp,1,1,482.028,57.443,424.585,8.391,482.028,57.443,APO-D-00018,GIH-D-33028
Module.GameplayBehaviorsModule.cpp,1,1,473.34,50.108,423.232,9.446,473.34,50.108,GIH-D-X1227,GIH-D-33028
Module.UnrealEd.13.cpp,1,1,410.608,5.747,404.861,71.447,410.608,5.747,GIH-D-32459,GIH-D-33028
Module.DetailCustomizations.4.cpp,1,1,617.603,214.646,402.957,2.877,617.603,214.646,GIH-D-32354,GIH-D-33028
Module.Engine.26.cpp,1,1,419.162,35.786,383.376,11.713,419.162,35.786,GIH-D-33053,GIH-D-33028
Module.UnrealEd.24.cpp,1,1,439.767,56.57,383.197,7.774,439.767,56.57,gih-d-x5331,GIH-D-33028
Module.Engine.35.cpp,1,1,417.633,45.493,372.14,9.18,417.633,45.493,gih-d-26986,GIH-D-33028
Module.GeometryAlgorithms.2.cpp,1,1,420.194,53.272,366.922,7.888,420.194,53.272,GIH-D-30908,GIH-D-33028
Module.Engine.36.cpp,1,1,428.329,61.633,366.696,6.95,428.329,61.633,gih-d-26986,GIH-D-33028
Module.Engine.51.cpp,1,1,392.205,25.813,366.392,15.194,392.205,25.813,GIH-D-24991,GIH-D-33028
Module.Engine.66.cpp,1,1,397.459,37.655,359.804,10.555,397.459,37.655,GIH-D-32459,GIH-D-33028
Module.UnrealEd.40.cpp,1,1,447.284,89.311,357.973,5.008,447.284,89.311,HIH-D-34436,GIH-D-33028
Module.DynamicMesh.3.cpp,1,1,396.981,47.773,349.208,8.31,396.981,47.773,GIH-D-24991,GIH-D-33028
Module.Persona.2.cpp,1,1,474.971,131.603,343.368,3.609,474.971,131.603,GIH-D-31380,GIH-D-33028
Module.MuCOE.4.cpp,1,1,490.778,153.861,336.917,3.19,490.778,153.861,GIH-D-X3096,GIH-D-33028
Module.OXRVisionOSSettings.cpp,1,1,345.434,11.177,334.257,30.906,345.434,11.177,GIH-D-31213,GIH-D-33028
Module.Engine.20.cpp,1,1,322.565,3.126,319.439,103.188,322.565,3.126,GIH-D-X6918,GIH-D-33028
Module.Engine.11.cpp,1,1,318.488,2.304,316.184,138.233,318.488,2.304,GIH-D-X4947,GIH-D-33028
Module.USDUtilities.1.cpp,1,1,498.297,187.047,311.25,2.664,498.297,187.047,gih-d-X41,GIH-D-33028
Module.TextureCompressor.cpp,1,1,321.328,14.113,307.215,22.768,321.328,14.113,gih-d-26986,GIH-D-33028
Module.Engine.19.cpp,1,1,302.22,2.291,299.929,131.916,302.22,2.291,GIH-D-X6918,GIH-D-33028
Module.AnimLLEd.cpp,1,1,346.575,47.029,299.546,7.369,346.575,47.029,GIH-D-31213,GIH-D-33028
Module.Chaos.3.cpp,1,1,358.647,60.932,297.715,5.886,358.647,60.932,GIH-D-X6918,GIH-D-33028
Module.GeometryAlgorithms.3.cpp,1,1,300.114,6.417,293.697,46.769,300.114,6.417,GIH-D-31836,GIH-D-33028
Module.AnimationData.cpp,1,1,365.724,81.826,283.898,4.47,365.724,81.826,GIH-D-31213,GIH-D-33028
Module.ClassViewer.cpp,1,1,320.811,51.268,269.543,6.258,320.811,51.268,gih-d-26986,GIH-D-33028
Module.AdvancedPreviewScene.cpp,1,1,316.705,51.045,265.66,6.204,316.705,51.045,GIH-D-31380,GIH-D-33028
Module.NavigationSystem.3.cpp,1,1,344.602,80.048,264.554,4.305,344.602,80.048,gih-d-26986,GIH-D-33028
Module.EditorInteractiveToolsFramework.cpp,1,1,335.131,71.378,263.753,4.695,335.131,71.378,BIH-D-7885,GIH-D-33028
Module.DisplayCluster.4.cpp,1,1,373.614,111.514,262.1,3.35,373.614,111.514,BIH-D-7885,GIH-D-33028
Module.DisplayClusterConfiguration.3.cpp,1,1,270.604,28.239,242.365,9.583,270.604,28.239,GIH-D-32794,GIH-D-33028
Module.ProceduralMeshComponent.cpp,1,1,297.009,56.084,240.925,5.296,297.009,56.084,HIH-D-31172,GIH-D-33028
Module.OpenColorIO.cpp,1,1,288.56,62.308,226.252,4.631,288.56,62.308,USA-D-00040,GIH-D-33028
Module.TypedElementFramework.cpp,1,1,264.348,40.108,224.24,6.591,264.348,40.108,GIH-D-30761,GIH-D-33028
Module.ChaosFleshNodes.cpp,1,1,306.311,84.448,221.863,3.627,306.311,84.448,USA-D-00132,GIH-D-33028
Module.ChaosFleshEditor.cpp,1,1,304.001,86.557,217.444,3.512,304.001,86.557,USA-D-00132,GIH-D-33028
Module.DerivedDataCache.2.cpp,1,1,240.915,24.405,216.51,9.872,240.915,24.405,GIH-D-31320,GIH-D-33028
Module.Persona.1.cpp,1,1,346.497,133.22,213.277,2.601,346.497,133.22,BIH-D-7885,GIH-D-33028
Module.LandscapePatchEditorOnly.cpp,1,1,251.673,39.707,211.966,6.338,251.673,39.707,BIH-D-7897,GIH-D-33028
Module.Persona.3.cpp,1,1,381.42,196.377,185.043,1.942,381.42,196.377,GIH-D-X4945,GIH-D-33028
Module.USDStage.cpp,1,1,384.295,201.989,182.306,1.903,384.295,201.989,gih-d-26986,GIH-D-33028
Module.Persona.5.cpp,1,1,341.383,167.479,173.904,2.038,341.383,167.479,GIH-D-X7365,GIH-D-33028
Module.SourceControlWindows.cpp,1,1,269.253,97.666,171.587,2.757,269.253,97.666,HIH-D-X63251,GIH-D-33028
Module.TypedElementRuntime.cpp,1,1,192.075,23.542,168.533,8.159,192.075,23.542,GIH-D-30761,GIH-D-33028
Module.DisplayClusterConfigurator.2.cpp,1,1,275.586,109.096,166.49,2.526,275.586,109.096,gih-d-26986,GIH-D-33028
Module.StageMonitorCommon.cpp,1,1,183.525,19.777,163.748,9.28,183.525,19.777,GIH-D-X6918,GIH-D-33028
Module.SequenceRecorder.cpp,1,1,279.784,139.026,140.758,2.012,279.784,139.026,gih-d-26986,GIH-D-33028
Module.ChaosVDRuntime.cpp,1,1,161.762,22.254,139.508,7.269,161.762,22.254,GIH-D-30761,GIH-D-33028
Module.PythonScriptPlugin.2.cpp,1,1,191.781,56.871,134.91,3.372,191.781,56.871,GIH-D-23164,GIH-D-33028
Module.IrisCore.6.cpp,1,1,145.938,15.889,130.049,9.185,145.938,15.889,GIH-D-24991,GIH-D-33028
Module.ZoneGraphTestSuite.cpp,1,1,141.142,12.475,128.667,11.314,141.142,12.475,GIH-D-X9099,GIH-D-33028
Module.PythonScriptPlugin.1.cpp,1,1,184.487,61.15,123.337,3.017,184.487,61.15,GIH-D-25342,GIH-D-33028
Module.Horde.cpp,1,1,138.974,18.97,120.004,7.326,138.974,18.97,gih-d-26986,GIH-D-33028
Module.RemoteControlProtocol.cpp,1,1,139.371,27.979,111.392,4.981,139.371,27.979,gih-d-26986,GIH-D-33028
Module.ShaderCompilerCommon.cpp,1,1,140.305,29.065,111.24,4.827,140.305,29.065,gih-d-26986,GIH-D-33028
Module.XRBaseEditor.cpp,1,1,143.732,37.442,106.29,3.839,143.732,37.442,GIH-X-727,GIH-D-33028
Module.DisplayClusterEditor.cpp,1,1,144.596,39.369,105.227,3.673,144.596,39.369,GIH-X-727,GIH-D-33028
Module.BuildPatchServices.2.cpp,1,1,144.149,40.515,103.634,3.558,144.149,40.515,gih-d-26986,GIH-D-33028
Module.AutomationDriver.cpp,2,1,133.077,35.455,97.622,3.753,158.572,35.455,GIH-D-X12302,GIH-D-33028
Module.Documentation.cpp,1,1,142.02,47.633,94.387,2.982,142.02,47.633,gih-d-26986,GIH-D-33028
Module.DisplayClusterColorGrading.cpp,1,1,155.411,61.087,94.324,2.544,155.411,61.087,GIH-D-X9099,GIH-D-33028
Module.Media.cpp,1,1,106.088,14.784,91.304,7.176,106.088,14.784,JPN-D-00116,GIH-D-33028
Module.HairModelingToolset.cpp,1,1,177.854,87.598,90.256,2.03,177.854,87.598,GIH-D-X12301,GIH-D-33028
Module.RHICore.cpp,1,1,102.029,18.498,83.531,5.516,102.029,18.498,gih-d-26986,GIH-D-33028
Module.PacketHandler.cpp,1,1,93.695,14.266,79.429,6.568,93.695,14.266,gih-d-26986,GIH-D-33028
Module.ElectraDecoders.cpp,1,1,96.901,18.114,78.787,5.35,96.901,18.114,HIH-D-34436,GIH-D-33028
Module.UATHelper.cpp,1,1,118.458,43.192,75.266,2.743,118.458,43.192,GIH-D-24991,GIH-D-33028
Module.ScreenShotComparisonTools.cpp,1,1,100.88,26.867,74.013,3.755,100.88,26.867,gih-d-26986,GIH-D-33028
Module.HTTPServer.cpp,1,1,85.324,14.162,71.162,6.025,85.324,14.162,gih-d-26986,GIH-D-33028
Module.AutomationTest.cpp,1,1,84.364,14.131,70.233,5.97,84.364,14.131,gih-d-26986,GIH-D-33028
Module.CoreOnline.cpp,1,1,82.573,14.667,67.906,5.63,82.573,14.667,GIH-D-32389,GIH-D-33028
Module.NetworkReplayStreaming.cpp,1,1,74.735,7.414,67.321,10.08,74.735,7.414,gih-d-26986,GIH-D-33028
DMMaterialFunctionLibrary.cpp,1,1,87.501,21.643,65.858,4.043,87.501,21.643,GIH-D-31036,GIH-D-33028
Module.DisplayClusterScenePreview.cpp,1,1,135.157,69.54,65.617,1.944,135.157,69.54,GIH-D-X12302,GIH-D-33028
Module.SerializedRecorderInterface.cpp,1,1,72.026,7.58,64.446,9.502,72.026,7.58,gih-d-26986,GIH-D-33028
wall.cc,1,1,67.779,4.18,63.599,16.215,67.779,4.18,gih-d-26986,GIH-D-33028
v_compute.cc,1,1,67.824,4.488,63.336,15.112,67.824,4.488,gih-d-26986,GIH-D-33028
v_base.cc,1,1,63.467,0.41,63.057,154.798,63.467,0.41,gih-d-26986,GIH-D-33028
Module.TextureFormat.cpp,1,1,68.791,6.927,61.864,9.931,68.791,6.927,gih-d-26986,GIH-D-33028
Module.RSA.cpp,1,1,62.483,2.507,59.976,24.923,62.483,2.507,gih-d-26986,GIH-D-33028
Module.Learning.cpp,1,1,137.808,91.723,46.085,1.502,137.808,91.723,gih-d-26986,GIH-D-33028
DMMaterialStageMenus.cpp,1,1,64.093,21.457,42.636,2.987,64.093,21.457,gih-d-26986,GIH-D-33028
Module.ClothingSystemEditorInterface.cpp,1,1,49.665,10.726,38.939,4.63,49.665,10.726,HIH-D-34436,GIH-D-33028
Module.PlatformCrypto.cpp,1,1,39.273,3.093,36.18,12.697,39.273,3.093,GIH-D-33075,GIH-D-33028
Module.ColorManagement.cpp,1,1,43.222,10.477,32.745,4.125,43.222,10.477,GIH-D-32790,GIH-D-33028
Module.GeometryCollectionSequencer.cpp,1,1,101.361,73.872,27.489,1.372,101.361,73.872,GIH-D-X12301,GIH-D-33028
Module.DMXFixtureActorInterface.cpp,1,1,31.196,10.295,20.901,3.03,31.196,10.295,GIH-D-X6918,GIH-D-33028
Module.MetasoundStandardNodes.2.cpp,1,1,51.485,33.453,18.032,1.539,51.485,33.453,GIH-D-24991,GIH-D-33028
Module.LearningAgentsTraining.1.cpp,1,1,33.346,19.222,14.124,1.735,33.346,19.222,GIH-D-32459,GIH-D-33028
Module.HttpBlueprint.cpp,1,1,21.006,14.382,6.624,1.461,21.006,14.382,GIH-D-X12301,GIH-D-33028
Module.LearningAgents.2.cpp,1,1,27.283,23.519,3.764,1.16,27.283,23.519,GIH-D-33211,GIH-D-33028
Module.PCG.10.cpp,1,1,84.267,82.82,1.447,1.017,84.267,82.82,gih-d-26986,GIH-D-33028
Module.ScriptPlugin.cpp,1,1,33.277,32.793,0.484,1.015,33.277,32.793,HIH-D-34436,GIH-D-33028
Module.LocalizationService.cpp,1,1,27.643,28.209,-0.566,0.98,27.643,28.209,GIH-D-X12994,GIH-D-33028
Module.GizmoEdMode.cpp,1,1,48.529,51.236,-2.707,0.947,48.529,51.236,gih-d-26986,GIH-D-33028
Module.LearningAgents.3.cpp,1,1,20.89,26.245,-5.355,0.796,20.89,26.245,gih-d-26986,GIH-D-33028
Module.LearningAgents.4.cpp,1,1,34.812,45.468,-10.656,0.766,34.812,45.468,gih-d-26986,GIH-D-33028
Module.InterchangeCommonParser.cpp,1,1,6.257,16.959,-10.702,0.369,6.257,16.959,gih-d-26986,GIH-D-33028
Module.MediaCompositing.cpp,1,1,50.985,63.222,-12.237,0.806,50.985,63.222,gih-d-26986,GIH-D-33028
Module.MuT.1.cpp,1,1,33.882,47.197,-13.315,0.718,33.882,47.197,GIH-D-25342,GIH-D-33028
Module.DMXPixelMappingRenderer.cpp,1,1,47.316,63.03,-15.714,0.751,47.316,63.03,gih-d-26986,GIH-D-33028
Module.DMXPixelMappingEditorWidgets.cpp,1,1,18.405,36.451,-18.046,0.505,18.405,36.451,gih-d-26986,GIH-D-33028
Module.AutomationWorker.cpp,1,1,11.751,31.981,-20.23,0.367,11.751,31.981,gih-d-26986,GIH-D-33028
Module.GameFeatures.cpp,1,1,47.174,83.86,-36.686,0.563,47.174,83.86,GIH-D-31836,GIH-D-33028
Module.AlembicLibrary.cpp,1,1,72.452,128.716,-56.264,0.563,72.452,128.716,GIH-D-24991,GIH-D-33028
Module.MediaIOEditor.cpp,1,1,11.99,75.62,-63.63,0.159,11.99,75.62,GIH-D-X6918,GIH-D-33028
Module.Mover.3.cpp,1,1,26.545,100.299,-73.754,0.265,26.545,100.299,GIH-D-X12994,GIH-D-33028
