"Source","Target","Length","LastWriteTime","Status"
"D:\UE\Docs\Build\SharedPCH数学证明\SharedPCH冷态分发税数学证明.md","D:\UE\Docs\Build\资料汇总\原始材料副本\SharedPCH冷态分发税数学证明.md","26589","7/5/2026 10:31:03 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\定性分析SharedPCH对UE编译速度的影响.md","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_定性分析SharedPCH对UE编译速度的影响.md","11917","7/4/2026 6:29:07 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\BUILD_LOG_INDEX.md","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_BUILD_LOG_INDEX.md","3151","7/4/2026 1:47:22 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\BUILD_COMPARISON_20260704_PREVIOUS_1FAIL_1SUCC_VS_CURRENT.md","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_BUILD_COMPARISON_20260704_PREVIOUS_1FAIL_1SUCC_VS_CURRENT.md","8139","7/4/2026 1:47:22 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\Attempts\20260704-130827\Attempt1_PCH_Files.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_Attempt1_PCH_Files.csv","2548","7/4/2026 1:46:40 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\Attempts\20260704-143236-BuildEditor-SharedPCHEnabled\PCH_SharedPCH_Comparison.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_PCH_SharedPCH_Comparison.csv","515","7/4/2026 3:01:37 PM","Copied"
"D:\UE\Docs\Build\5.7.4r\Attempts\20260704-143236-BuildEditor-SharedPCHEnabled\BuildEditor_SharedPCH_Report.md","D:\UE\Docs\Build\资料汇总\原始材料副本\5.7.4r_BuildEditor_SharedPCH_Report.md","7218","7/4/2026 3:01:37 PM","Copied"
"D:\UE\5.4.4r\Engine\Saved\Logs\Codex_Build39_vs_Build40_TopDelta_20260704_221424.md","D:\UE\Docs\Build\资料汇总\原始材料副本\5.4.4r_Codex_Build39_vs_Build40_TopDelta_20260704_221424.md","13877","7/4/2026 10:14:25 PM","Copied"
"D:\UE\5.4.4r\Engine\Saved\Logs\Codex_Build39_vs_Build40_SameTask_Summary_20260704_221424.txt","D:\UE\Docs\Build\资料汇总\原始材料副本\5.4.4r_Codex_Build39_vs_Build40_SameTask_Summary_20260704_221424.txt","1128","7/4/2026 10:14:25 PM","Copied"
"D:\UE\5.4.4r\Engine\Saved\Logs\Codex_Build39_vs_Build40_SameTask_SuccessPairs_20260704_221424.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\5.4.4r_Codex_Build39_vs_Build40_SameTask_SuccessPairs_20260704_221424.csv","513464","7/4/2026 10:14:24 PM","Copied"
"D:\UE\5.4.4r\Engine\Saved\Logs\Codex_SameTask_Build40Remote_vs_Build39Local_SuccessOnly_20260704_194723.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\5.4.4r_Codex_SameTask_Build40Remote_vs_Build39Local_SuccessOnly_20260704_194723.csv","11399","7/4/2026 7:47:23 PM","Copied"
"D:\UE\5.8.0r\Engine\Saved\Logs\Codex_UnrealEditor_Development_Clean_XmlConfig.log","D:\UE\Docs\Build\资料汇总\原始材料副本\5.8.0r_Codex_UnrealEditor_Development_Clean_XmlConfig.log","714","7/4/2026 11:07:54 PM","Copied"
"D:\UE\5.8.0r\Engine\Saved\Logs\Codex_UnrealEditor_Development_XmlConfig_Attempt2.log","D:\UE\Docs\Build\资料汇总\原始材料副本\5.8.0r_Codex_UnrealEditor_Development_XmlConfig_Attempt2.log","1366","7/4/2026 11:29:35 PM","Copied"
"D:\UEProject\Docs\UE5.8_SharedPCH_ModulePCH_3_4_5_Analysis.md","D:\UE\Docs\Build\资料汇总\原始材料副本\UE5.8_SharedPCH_ModulePCH_3_4_5_Analysis.md","16938","7/6/2026 1:12:12 AM","Copied"
"D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\summary.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\UBA_PCH_Sampling_full_20260706_01_summary.csv","11968","7/6/2026 4:29:38 AM","Copied"
"D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\summary.md","D:\UE\Docs\Build\资料汇总\原始材料副本\UBA_PCH_Sampling_full_20260706_01_summary.md","2093","7/6/2026 4:30:48 AM","Copied"
"D:\UEProject\Docs\XGE_PCH_Probe\uba_sharedpch_coldwarm_20260706_151339\ColdWarmReport.md","D:\UE\Docs\Build\资料汇总\原始材料副本\UBA_remote_10.226.143.38_ColdWarmReport.md","5779","7/6/2026 3:14:08 PM","Copied"
"D:\UE\Docs\Build\UBA_SharedPCH_ColdWarm.md","D:\UE\Docs\Build\资料汇总\原始材料副本\UBA_SharedPCH_ColdWarm.md","20346","7/6/2026 10:56:12 AM","Copied"
"D:\UE\Docs\Build\UBA_SharedPCH_ColdWarm_Sequence.mmd","D:\UE\Docs\Build\资料汇总\原始材料副本\UBA_SharedPCH_ColdWarm_Sequence.mmd","1917","7/6/2026 10:56:12 AM","Copied"
"D:\UE\Docs\UBAPerf.md","D:\UE\Docs\Build\资料汇总\原始材料副本\UBAPerf.md","13123","7/6/2026 11:47:56 AM","Copied"
"D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.CodexRemoteForcedPCH5.20260706-143154.summary.json","D:\UE\Docs\Build\资料汇总\原始材料副本\XGE_CodexRemoteForcedPCH5_20260706-143154_summary.json","9141","7/6/2026 2:33:44 PM","Copied"
"D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.CodexRemoteForcedPCH5.20260706-143154.samples.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\XGE_CodexRemoteForcedPCH5_20260706-143154_samples.csv","17333","7/6/2026 2:32:53 PM","Copied"
"D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.Corrected.20260706-134937.csv","D:\UE\Docs\Build\资料汇总\原始材料副本\XGE_SharedPCHEdOnly_MultiRun_Corrected_20260706-134937.csv","3438","7/6/2026 1:52:13 PM","Copied"
"D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.CodexParallelPCH5.Single.20260706-141551.summary.json","D:\UE\Docs\Build\资料汇总\原始材料副本\XGE_CodexParallelPCH5_Single_20260706-141551_summary.json","4853","7/6/2026 2:22:16 PM","Copied"
"D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.CodexParallelPCH5.AfterDataReset.20260706-142419.summary.json","D:\UE\Docs\Build\资料汇总\原始材料副本\XGE_CodexParallelPCH5_AfterDataReset_20260706-142419_summary.json","7162","7/6/2026 2:25:36 PM","Copied"
