"run_id","sample_id","variant","module_domain","pch_kind","pch_tier","fp_basename","module_name","status","note","cold_exit_code","warm_exit_code","cold_remote_time_s","warm_remote_time_s","cold_sendcas_raw","cold_sendcas_comp","cold_createcas_raw","cold_createcas_comp","cold_sendtotal","warm_sendtotal","cold_recvtotal","warm_recvtotal","cold_log_path","warm_log_path","remote_store","source_rsp"
"full_20260706_01","SharedPCH.UnrealEd_CADKernel_1","baseline","engine","shared","SharedPCH.UnrealEd","SharedPCH.UnrealEd.Cpp20.h.pch","CADKernel","ok","","0","0","11.9","6.9","2.6gb","349.5mb","2.6gb","349.5mb","350.3mb","823.6kb","2.4mb","2.4mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.UnrealEd_CADKernel_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.UnrealEd_CADKernel_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.UnrealEd_CADKernel_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CADKernel\Module.CADKernel.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.UnrealEd_CADKernel_1","noshared","engine","shared","SharedPCH.UnrealEd","SharedPCH.UnrealEd.Cpp20.h.pch","CADKernel","ok","","0","0","7.1","5.5","41.5mb","14.5mb","41.5mb","14.5mb","15.4mb","875.3kb","2.8mb","2.6mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.UnrealEd_CADKernel_1\noshared\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.UnrealEd_CADKernel_1\noshared\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.UnrealEd_CADKernel_1_noshared","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CADKernel\Module.CADKernel.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Engine_BlueprintGraph_1","baseline","engine","shared","SharedPCH.Engine","SharedPCH.Engine.Cpp20.h.pch","BlueprintGraph","ok","","0","0","12.9","8.2","2.4gb","316.0mb","2.4gb","316.0mb","316.9mb","925.6kb","2.6mb","2.5mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Engine_BlueprintGraph_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Engine_BlueprintGraph_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Engine_BlueprintGraph_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\BlueprintGraph\Module.BlueprintGraph.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Engine_BlueprintGraph_1","noshared","engine","shared","SharedPCH.Engine","SharedPCH.Engine.Cpp20.h.pch","BlueprintGraph","ok","","0","0","17.2","14.7","56.9mb","18.8mb","56.9mb","18.8mb","20.0mb","1.1mb","6.2mb","5.7mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Engine_BlueprintGraph_1\noshared\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Engine_BlueprintGraph_1\noshared\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Engine_BlueprintGraph_1_noshared","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\BlueprintGraph\Module.BlueprintGraph.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Slate_Chaos_1","baseline","engine","shared","SharedPCH.Slate","SharedPCH.Slate.Cpp20.h.pch","Chaos","ok","","0","0","16.2","13.2","954.7mb","134.6mb","954.7mb","134.6mb","135.6mb","960.0kb","4.1mb","3.9mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Slate_Chaos_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Slate_Chaos_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Slate_Chaos_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Chaos\Module.Chaos.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Slate_Chaos_1","noshared","engine","shared","SharedPCH.Slate","SharedPCH.Slate.Cpp20.h.pch","Chaos","ok","","0","0","17.2","15.3","51.3mb","17.1mb","51.3mb","17.1mb","18.2mb","1.0mb","5.0mb","4.7mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Slate_Chaos_1\noshared\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Slate_Chaos_1\noshared\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Slate_Chaos_1_noshared","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Chaos\Module.Chaos.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.CoreUObject_AssetRegistry_1","baseline","engine","shared","SharedPCH.CoreUObject","SharedPCH.CoreUObject.Cpp20.h.pch","AssetRegistry","ok","","0","0","7.3","5.3","567.1mb","83.8mb","567.1mb","83.8mb","84.1mb","290.5kb","2.3mb","2.3mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.CoreUObject_AssetRegistry_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.CoreUObject_AssetRegistry_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.CoreUObject_AssetRegistry_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\AssetRegistry\Module.AssetRegistry.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.CoreUObject_AssetRegistry_1","noshared","engine","shared","SharedPCH.CoreUObject","SharedPCH.CoreUObject.Cpp20.h.pch","AssetRegistry","ok","","0","0","9.8","8.2","45.3mb","15.6mb","45.3mb","15.6mb","16.0mb","333.5kb","3.6mb","3.4mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.CoreUObject_AssetRegistry_1\noshared\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.CoreUObject_AssetRegistry_1\noshared\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.CoreUObject_AssetRegistry_1_noshared","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\AssetRegistry\Module.AssetRegistry.1.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Core_Analytics_1","baseline","engine","shared","SharedPCH.Core","SharedPCH.Core.Cpp20.h.pch","Analytics","ok","","0","0","2.2","1.4","416.6mb","62.9mb","416.6mb","62.9mb","63.1mb","229.5kb","454.7kb","444.1kb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Core_Analytics_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Core_Analytics_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Core_Analytics_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Analytics\Module.Analytics.cpp.obj.rsp"
"full_20260706_01","SharedPCH.Core_Analytics_1","noshared","engine","shared","SharedPCH.Core","SharedPCH.Core.Cpp20.h.pch","Analytics","ok","","0","0","4.8","3.5","39.6mb","14.2mb","39.6mb","14.2mb","14.5mb","277.9kb","1.3mb","1.1mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Core_Analytics_1\noshared\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\SharedPCH.Core_Analytics_1\noshared\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_SharedPCH.Core_Analytics_1_noshared","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Analytics\Module.Analytics.cpp.obj.rsp"
"full_20260706_01","ModulePCH.Engine_Engine_1","noshared","engine","module","ModulePCH.Engine","PCH.Engine.h.pch","Engine","not_applicable","ModulePCH sample does not reference SharedPCH","","","","","","","","","","","","","","","","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Engine\Module.Engine.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.Engine_Engine_1","baseline","engine","module","ModulePCH.Engine","PCH.Engine.h.pch","Engine","ok","","0","0","23.1","9.5","2.1gb","282.2mb","2.1gb","282.2mb","283.3mb","1.0mb","3.5mb","3.4mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.Engine_Engine_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.Engine_Engine_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_ModulePCH.Engine_Engine_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Engine\Module.Engine.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.UnrealEd_UnrealEd_1","noshared","engine","module","ModulePCH.UnrealEd","PCH.UnrealEd.h.pch","UnrealEd","not_applicable","ModulePCH sample does not reference SharedPCH","","","","","","","","","","","","","","","","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\UnrealEd\Module.UnrealEd.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.UnrealEd_UnrealEd_1","baseline","engine","module","ModulePCH.UnrealEd","PCH.UnrealEd.h.pch","UnrealEd","ok","","0","0","15.7","4.6","2.2gb","296.0mb","2.2gb","296.0mb","297.1mb","1.0mb","1.2mb","1.1mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.UnrealEd_UnrealEd_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.UnrealEd_UnrealEd_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_ModulePCH.UnrealEd_UnrealEd_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\UnrealEd\Module.UnrealEd.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.Core_Core_1","noshared","engine","module","ModulePCH.Core","PCH.Core.h.pch","Core","not_applicable","ModulePCH sample does not reference SharedPCH","","","","","","","","","","","","","","","","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Core\Module.Core.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.Core_Core_1","baseline","engine","module","ModulePCH.Core","PCH.Core.h.pch","Core","ok","","0","0","5.1","3.2","418.9mb","63.4mb","418.9mb","63.4mb","63.8mb","350.1kb","1.7mb","1.6mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.Core_Core_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.Core_Core_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_ModulePCH.Core_Core_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Core\Module.Core.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.CoreUObject_CoreUObject_1","noshared","engine","module","ModulePCH.CoreUObject","PCH.CoreUObject.h.pch","CoreUObject","not_applicable","ModulePCH sample does not reference SharedPCH","","","","","","","","","","","","","","","","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CoreUObject\Module.CoreUObject.1.cpp.obj.rsp"
"full_20260706_01","ModulePCH.CoreUObject_CoreUObject_1","baseline","engine","module","ModulePCH.CoreUObject","PCH.CoreUObject.h.pch","CoreUObject","ok","","0","0","8.7","5.6","583.7mb","86.0mb","583.7mb","86.0mb","86.3mb","321.8kb","2.5mb","2.4mb","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.CoreUObject_CoreUObject_1\baseline\cold.log","D:\UEProject\Docs\XGE_PCH_Probe\uba_pch_sampling_full_20260706_01\samples\ModulePCH.CoreUObject_CoreUObject_1\baseline\warm.log","C:\ProgramData\Epic\UbaAgent\Codex\stores\full_20260706_01\full_20260706_01_ModulePCH.CoreUObject_CoreUObject_1_baseline","D:\UE\5.8.0r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CoreUObject\Module.CoreUObject.1.cpp.obj.rsp"
